geo_value,time_value,percent_covid_tests_positive_smoothed,covid_admissions,raw_search,percent_covid_visits,fb_illness,new_cases,full_time_work_prop,percent_home
al,2020-05-26,14.28571429,4.517342,55.322505729221,0.1352,0.49948590000000004,590,4.4874795655629995,22.510767367735998
fl,2020-05-26,6.33934121,2.465759,16.161372159324998,0.142618,0.3605442,509,4.248671236883901,31.483611243019
ga,2020-05-26,8.544027900000001,1.869039,7.829014875350901,0.200579,0.45886499999999997,583,4.2252076476715,27.816294730883
ks,2020-05-26,12.62939959,1.552921,18.343940121431,0.113693,0.4245139,74,4.229386483252,25.787294070186
ky,2020-05-26,3.23232323,1.120123,12.203358067543002,0.090783,0.47933240000000005,380,4.0694313484507,25.568259622859003
la,2020-05-26,7.27272727,3.268448,36.055304316131,0.199628,0.48480500000000004,245,4.7301783282903,24.716901490167004
ma,2020-05-26,6.14250614,8.976784,22.327519996268002,0.388499,0.4685398,884,3.7167272851467996,37.908819726963
mi,2020-05-26,0.0,1.9977169999999997,13.8066624607,0.193395,0.32946790000000004,344,3.7887668752888,31.489491342216997
ms,2020-05-26,1.12359551,3.92403,22.852202888181,0.235315,0.4785201,273,4.7436975302873,21.9475304658
ny,2020-05-26,0.43668122,6.609699000000001,14.352899666180999,0.9916879999999999,0.47454880000000005,1072,4.2264664551686,41.707640620328
ok,2020-05-26,3.69978858,1.340283,29.314668786652003,0.10566700000000001,0.4178322,48,4.690579632613801,24.171098822095
ri,2020-05-26,3.03030303,2.412969,37.41954797186,0.20815,0.5121279000000001,145,4.245121730292,35.420625956649
tx,2020-05-26,4.06941951,2.796934,14.747383731319001,0.23472800000000002,0.4026389,883,4.0848336288653995,29.564085754991996
al,2020-05-27,21.21212121,4.66383,32.264959196517,0.161913,0.5506419,364,4.5486590416845,22.747571455369002
ar,2020-05-27,3.63636364,1.735512,0.0,0.124429,0.6252083,97,4.499606215357799,22.872360150739997
ct,2020-05-27,3.33333333,8.188578,32.121931934937,0.485137,0.4459267,-15,3.5153558124462996,33.90937865351
fl,2020-05-27,5.71973308,2.38525,15.740533791094,0.133879,0.35472750000000003,379,4.251422806512899,30.667618527775005
ga,2020-05-27,7.83673469,1.946668,17.112886884524,0.19613599999999998,0.517842,655,4.2602201926981005,26.835441706253
ks,2020-05-27,12.44725738,1.452308,18.910559080604997,0.099757,0.4234518,92,4.5033749513678,25.387934955587
ky,2020-05-27,3.28317373,0.898133,24.054315247467,0.071635,0.4693482,126,4.3726586741869,24.820919378073
la,2020-05-27,7.01754386,3.080502,12.100653824861,0.185352,0.5100528,443,5.1454700434539005,25.265386747435
ma,2020-05-27,5.92686003,8.385580000000001,11.065432649460002,0.35266,0.4819611,710,4.3689544967583,37.867827484084
md,2020-05-27,13.33333333,8.341266000000001,25.457369992563,0.5541729999999999,0.6953720999999999,736,4.205689974080999,37.07310379171
mi,2020-05-27,0.39840637,1.915946,13.598626432214001,0.177371,0.33180940000000003,375,4.4165392562202,31.352382369098
ms,2020-05-27,1.1627907,3.437184,0.0,0.22875900000000002,0.5952556999999999,313,5.034990021658301,22.592278825773
ny,2020-05-27,2.49609984,6.272532,17.761212331724,0.892602,0.4838292,1129,4.0875547889391,40.72309422442801
ok,2020-05-27,3.73205742,0.9729549999999999,0.0,0.09651,0.4115223,91,4.3295249731014,22.893784899176
ri,2020-05-27,1.36986301,2.48473,0.0,0.232278,0.5202911,143,3.9213902557625997,33.348416094872995
