geo_value,time_value,covid_admissions
al,2020-02-01,0.056354
ar,2020-02-01,0.081567
az,2020-02-01,0.064249
ca,2020-02-01,0.031882
co,2020-02-01,0.067594
ct,2020-02-01,0.084112
dc,2020-02-01,0.123866
de,2020-02-01,0.154195
fl,2020-02-01,0.020306
ga,2020-02-01,0.048224
hi,2020-02-01,0.096024
ia,2020-02-01,0.087583
id,2020-02-01,0.141417
il,2020-02-01,0.052456
in,2020-02-01,0.063848
ks,2020-02-01,0.084002
ky,2020-02-01,0.612266
la,2020-02-01,0.081742
ma,2020-02-01,0.084612
md,2020-02-01,0.073606
me,2020-02-01,0.139759
mi,2020-02-01,0.075649
mn,2020-02-01,0.08269
mo,2020-02-01,0.071462
ms,2020-02-01,0.177792
nc,2020-02-01,0.065171
ne,2020-02-01,0.087838
nh,2020-02-01,0.09263
nj,2020-02-01,0.057982
nm,2020-02-01,0.09143
nv,2020-02-01,0.08219
ny,2020-02-01,0.047992
oh,2020-02-01,0.120182
ok,2020-02-01,0.087765
or,2020-02-01,0.080814
pa,2020-02-01,0.092879
ri,2020-02-01,0.092745
sc,2020-02-01,0.0847
sd,2020-02-01,0.430458
tn,2020-02-01,0.077876
tx,2020-02-01,0.033363
ut,2020-02-01,0.094486
va,2020-02-01,0.074027
vt,2020-02-01,0.186737
wa,2020-02-01,0.273012
wi,2020-02-01,0.079331
wv,2020-02-01,0.093794
wy,2020-02-01,0.403207
al,2020-02-02,0.056932
ar,2020-02-02,0.082622
az,2020-02-02,0.050811
ca,2020-02-02,0.032465
co,2020-02-02,0.062426
ct,2020-02-02,0.07522
dc,2020-02-02,0.104482
de,2020-02-02,0.156474
fl,2020-02-02,0.018482
ga,2020-02-02,0.04976
hi,2020-02-02,0.094656
ia,2020-02-02,0.084302
id,2020-02-02,0.143343
il,2020-02-02,0.052989
in,2020-02-02,0.064646
ks,2020-02-02,0.086778
ky,2020-02-02,0.782222
la,2020-02-02,0.086887
ma,2020-02-02,0.085973
md,2020-02-02,0.074164
me,2020-02-02,0.14265
mi,2020-02-02,0.076921
mn,2020-02-02,0.08136
mo,2020-02-02,0.07318
ms,2020-02-02,0.166214
nc,2020-02-02,0.065267
ne,2020-02-02,0.088238
nh,2020-02-02,0.093715
nj,2020-02-02,0.067627
nm,2020-02-02,0.093261
nv,2020-02-02,0.085779
ny,2020-02-02,0.052075
oh,2020-02-02,0.099668
ok,2020-02-02,0.079686
or,2020-02-02,0.080328
pa,2020-02-02,0.088536
ri,2020-02-02,0.092632
sc,2020-02-02,0.070949
sd,2020-02-02,0.421657
tn,2020-02-02,0.080149
tx,2020-02-02,0.033204
ut,2020-02-02,0.093251
va,2020-02-02,0.070818
vt,2020-02-02,0.186134
wa,2020-02-02,0.216723
wi,2020-02-02,0.079852
wv,2020-02-02,0.093738
wy,2020-02-02,0.377603
al,2020-02-03,0.059969
ar,2020-02-03,0.085489
az,2020-02-03,0.054856
ca,2020-02-03,0.034814
co,2020-02-03,0.060831
ct,2020-02-03,0.071021
dc,2020-02-03,0.094125
de,2020-02-03,0.160194
fl,2020-02-03,0.01929
ga,2020-02-03,0.054842
hi,2020-02-03,0.095654
ia,2020-02-03,0.0845
id,2020-02-03,0.144753
il,2020-02-03,0.0559
in,2020-02-03,0.068329
ks,2020-02-03,0.083718
ky,2020-02-03,0.855385
la,2020-02-03,0.076728
ma,2020-02-03,0.080221
md,2020-02-03,0.07779
me,2020-02-03,0.146768
mi,2020-02-03,0.081238
mn,2020-02-03,0.08274
mo,2020-02-03,0.062545
ms,2020-02-03,0.1393
