geo_value,time_value,fb_illness
ak,2020-04-06,1.5020916
al,2020-04-06,1.0256694
ar,2020-04-06,1.1744391
az,2020-04-06,0.7590459
ca,2020-04-06,0.5555505
co,2020-04-06,1.3000881
ct,2020-04-06,1.3485506
dc,2020-04-06,0.5662352
de,2020-04-06,0.9948897
fl,2020-04-06,0.5367681
ga,2020-04-06,0.8853099
hi,2020-04-06,0.3592201
ia,2020-04-06,1.1940019
id,2020-04-06,1.2058134
il,2020-04-06,0.9369634
in,2020-04-06,1.0098896
ks,2020-04-06,1.2073284
ky,2020-04-06,0.6308881
la,2020-04-06,0.9886978
ma,2020-04-06,0.5168433
md,2020-04-06,0.4078213
me,2020-04-06,1.6571942
mi,2020-04-06,0.90863
mn,2020-04-06,1.1801075
mo,2020-04-06,0.687203
ms,2020-04-06,0.9018843
mt,2020-04-06,1.6733371
nc,2020-04-06,0.7679113
nd,2020-04-06,0.3067421
ne,2020-04-06,0.6752385
nh,2020-04-06,0.3216463
nj,2020-04-06,0.8069052
nm,2020-04-06,0.365233
nv,2020-04-06,1.0693733
ny,2020-04-06,1.3658524
oh,2020-04-06,0.6720464
ok,2020-04-06,0.9476576
or,2020-04-06,0.9829358
pa,2020-04-06,0.9423299
ri,2020-04-06,0.5520306
sc,2020-04-06,0.7739657
sd,2020-04-06,1.1231483
tn,2020-04-06,0.5993031
tx,2020-04-06,1.0143185
ut,2020-04-06,0.7581747
va,2020-04-06,0.9047662
vt,2020-04-06,0.4143509
wa,2020-04-06,1.0144572
wi,2020-04-06,0.7870201
wv,2020-04-06,1.0405884
wy,2020-04-06,1.5796682
ak,2020-04-07,1.2092847
al,2020-04-07,0.8986512
ar,2020-04-07,1.0432134
az,2020-04-07,0.831972
ca,2020-04-07,0.5395198
co,2020-04-07,1.2722275
ct,2020-04-07,1.0563375
dc,2020-04-07,0.3787433
de,2020-04-07,0.5427768
fl,2020-04-07,0.6153603
ga,2020-04-07,0.8666698
hi,2020-04-07,0.5470228
ia,2020-04-07,1.0604917
id,2020-04-07,1.1592366
il,2020-04-07,0.8509548
in,2020-04-07,1.0730134
ks,2020-04-07,1.0320286
ky,2020-04-07,0.6906642
la,2020-04-07,1.0270608
ma,2020-04-07,0.6312872
md,2020-04-07,0.5668118
me,2020-04-07,1.2488467
mi,2020-04-07,1.0045463
mn,2020-04-07,1.0037723
mo,2020-04-07,0.7377253
ms,2020-04-07,0.9367886
mt,2020-04-07,1.6319823
nc,2020-04-07,0.7390665
nd,2020-04-07,0.736749
ne,2020-04-07,0.9531612
nh,2020-04-07,0.5429666
nj,2020-04-07,1.1516552
nm,2020-04-07,0.5439869
nv,2020-04-07,1.0530311
ny,2020-04-07,1.4540341
oh,2020-04-07,0.7856471
ok,2020-04-07,1.0924226
