geo_value,time_value,new_deaths
ak,2020-01-22,0
al,2020-01-22,0
ar,2020-01-22,0
az,2020-01-22,0
ca,2020-01-22,0
co,2020-01-22,0
ct,2020-01-22,0
dc,2020-01-22,0
de,2020-01-22,0
fl,2020-01-22,0
ga,2020-01-22,0
hi,2020-01-22,0
ia,2020-01-22,0
id,2020-01-22,0
il,2020-01-22,0
in,2020-01-22,0
ks,2020-01-22,0
ky,2020-01-22,0
la,2020-01-22,0
ma,2020-01-22,0
md,2020-01-22,0
me,2020-01-22,0
mi,2020-01-22,0
mn,2020-01-22,0
mo,2020-01-22,0
ms,2020-01-22,0
mt,2020-01-22,0
nc,2020-01-22,0
nd,2020-01-22,0
ne,2020-01-22,0
nh,2020-01-22,0
nj,2020-01-22,0
nm,2020-01-22,0
nv,2020-01-22,0
ny,2020-01-22,0
oh,2020-01-22,0
ok,2020-01-22,0
or,2020-01-22,0
pa,2020-01-22,0
ri,2020-01-22,0
sc,2020-01-22,0
sd,2020-01-22,0
tn,2020-01-22,0
tx,2020-01-22,0
ut,2020-01-22,0
va,2020-01-22,0
vt,2020-01-22,0
wa,2020-01-22,0
wi,2020-01-22,0
wv,2020-01-22,0
wy,2020-01-22,0
ak,2020-01-23,0
al,2020-01-23,0
ar,2020-01-23,0
az,2020-01-23,0
ca,2020-01-23,0
co,2020-01-23,0
ct,2020-01-23,0
dc,2020-01-23,0
de,2020-01-23,0
fl,2020-01-23,0
ga,2020-01-23,0
hi,2020-01-23,0
ia,2020-01-23,0
id,2020-01-23,0
il,2020-01-23,0
in,2020-01-23,0
ks,2020-01-23,0
ky,2020-01-23,0
la,2020-01-23,0
ma,2020-01-23,0
md,2020-01-23,0
me,2020-01-23,0
mi,2020-01-23,0
mn,2020-01-23,0
mo,2020-01-23,0
ms,2020-01-23,0
mt,2020-01-23,0
nc,2020-01-23,0
nd,2020-01-23,0
ne,2020-01-23,0
nh,2020-01-23,0
nj,2020-01-23,0
nm,2020-01-23,0
nv,2020-01-23,0
ny,2020-01-23,0
oh,2020-01-23,0
ok,2020-01-23,0
or,2020-01-23,0
pa,2020-01-23,0
ri,2020-01-23,0
sc,2020-01-23,0
sd,2020-01-23,0
tn,2020-01-23,0
tx,2020-01-23,0
ut,2020-01-23,0
va,2020-01-23,0
vt,2020-01-23,0
wa,2020-01-23,0
wi,2020-01-23,0
wv,2020-01-23,0
wy,2020-01-23,0
ak,2020-01-24,0
