geo_value,time_value,raw_search
ak,2020-02-01,0.0
al,2020-02-01,10.288473806276
ar,2020-02-01,0.0
az,2020-02-01,0.0
ca,2020-02-01,6.8248563090004
co,2020-02-01,0.0
ct,2020-02-01,0.0
dc,2020-02-01,0.0
de,2020-02-01,0.0
fl,2020-02-01,9.3081837341223
ga,2020-02-01,0.0
hi,2020-02-01,0.0
ia,2020-02-01,0.0
id,2020-02-01,0.0
il,2020-02-01,7.854310557651
in,2020-02-01,0.0
ks,2020-02-01,0.0
ky,2020-02-01,0.0
la,2020-02-01,0.0
ma,2020-02-01,7.222688369122
md,2020-02-01,0.0
me,2020-02-01,0.0
mi,2020-02-01,6.018065952245
mn,2020-02-01,10.144275069866
mo,2020-02-01,0.0
ms,2020-02-01,0.0
mt,2020-02-01,0.0
nc,2020-02-01,5.1328734379043
nd,2020-02-01,0.0
ne,2020-02-01,0.0
nh,2020-02-01,0.0
nj,2020-02-01,0.0
nm,2020-02-01,0.0
nv,2020-02-01,0.0
ny,2020-02-01,2.3262853288074
oh,2020-02-01,8.9187895018602
ok,2020-02-01,0.0
or,2020-02-01,0.0
pa,2020-02-01,4.3016915501447
ri,2020-02-01,0.0
sc,2020-02-01,0.0
sd,2020-02-01,0.0
tn,2020-02-01,0.0
tx,2020-02-01,9.525492373686
ut,2020-02-01,0.0
va,2020-02-01,0.0
vt,2020-02-01,0.0
wa,2020-02-01,6.984076933135
wi,2020-02-01,0.0
wv,2020-02-01,0.0
wy,2020-02-01,0.0
ak,2020-02-02,0.0
al,2020-02-02,10.343816531146
ar,2020-02-02,0.0
az,2020-02-02,7.8193210896912
ca,2020-02-02,4.0495757883841
co,2020-02-02,36.519660199558
ct,2020-02-02,0.0
dc,2020-02-02,0.0
de,2020-02-02,0.0
fl,2020-02-02,0.0
ga,2020-02-02,0.0
hi,2020-02-02,0.0
ia,2020-02-02,0.0
id,2020-02-02,0.0
il,2020-02-02,3.9122227176215
in,2020-02-02,0.0
ks,2020-02-02,0.0
ky,2020-02-02,14.155275883015
la,2020-02-02,0.0
ma,2020-02-02,0.0
md,2020-02-02,0.0
me,2020-02-02,0.0
mi,2020-02-02,0.0
mn,2020-02-02,9.9341778676867
mo,2020-02-02,0.0
ms,2020-02-02,0.0
mt,2020-02-02,0.0
nc,2020-02-02,5.2448251397979
nd,2020-02-02,0.0
ne,2020-02-02,0.0
nh,2020-02-02,79.264426125555
nj,2020-02-02,0.0
nm,2020-02-02,0.0
nv,2020-02-02,0.0
ny,2020-02-02,14.411340346868
oh,2020-02-02,4.4457502789037
ok,2020-02-02,0.0
or,2020-02-02,12.985948068468
pa,2020-02-02,8.2467180968855
ri,2020-02-02,0.0
sc,2020-02-02,0.0
sd,2020-02-02,0.0
tn,2020-02-02,0.0
tx,2020-02-02,1.8990134319357
ut,2020-02-02,0.0
va,2020-02-02,0.0
vt,2020-02-02,0.0
wa,2020-02-02,0.0
wi,2020-02-02,0.0
wv,2020-02-02,41.031197603989
wy,2020-02-02,0.0
ak,2020-02-03,0.0
al,2020-02-03,33.300394073157
ar,2020-02-03,0.0
az,2020-02-03,0.0
ca,2020-02-03,1.0784052251818
co,2020-02-03,0.0
ct,2020-02-03,0.0
dc,2020-02-03,0.0
de,2020-02-03,0.0
fl,2020-02-03,1.9493377608869
ga,2020-02-03,0.0
hi,2020-02-03,0.0
ia,2020-02-03,0.0
id,2020-02-03,0.0
il,2020-02-03,9.2657922014059
in,2020-02-03,0.0
ks,2020-02-03,35.227450751826
ky,2020-02-03,0.0
la,2020-02-03,11.487358324999
ma,2020-02-03,5.4142881658754
md,2020-02-03,0.0
me,2020-02-03,0.0
mi,2020-02-03,0.0
mn,2020-02-03,0.0
mo,2020-02-03,0.0
ms,2020-02-03,0.0
mt,2020-02-03,0.0
nc,2020-02-03,0.0
nd,2020-02-03,0.0
ne,2020-02-03,0.0
nh,2020-02-03,0.0
nj,2020-02-03,0.0
nm,2020-02-03,0.0
nv,2020-02-03,0.0
ny,2020-02-03,3.8207835616773
oh,2020-02-03,7.0442212801114
ok,2020-02-03,0.0
or,2020-02-03,0.0
pa,2020-02-03,0.0
ri,2020-02-03,0.0
sc,2020-02-03,0.0
sd,2020-02-03,0.0
tn,2020-02-03,0.0
tx,2020-02-03,2.9083598395375
ut,2020-02-03,0.0
va,2020-02-03,0.0
vt,2020-02-03,0.0
wa,2020-02-03,5.7658011769585
wi,2020-02-03,7.7752354312441
wv,2020-02-03,0.0
wy,2020-02-03,0.0
ak,2020-02-04,0.0
al,2020-02-04,0.0
ar,2020-02-04,0.0
az,2020-02-04,0.0
ca,2020-02-04,4.5706496291109
co,2020-02-04,0.0
ct,2020-02-04,0.0
dc,2020-02-04,0.0
de,2020-02-04,54.945054945055
fl,2020-02-04,0.0
ga,2020-02-04,4.289334990617
hi,2020-02-04,0.0
ia,2020-02-04,0.0
id,2020-02-04,0.0
il,2020-02-04,0.0
in,2020-02-04,0.0
ks,2020-02-04,0.0
ky,2020-02-04,0.0
la,2020-02-04,25.323912645474
ma,2020-02-04,0.0
md,2020-02-04,7.3234465944132
me,2020-02-04,0.0
mi,2020-02-04,0.0
mn,2020-02-04,0.0
mo,2020-02-04,0.0
ms,2020-02-04,0.0
mt,2020-02-04,0.0
nc,2020-02-04,0.0
nd,2020-02-04,0.0
ne,2020-02-04,0.0
nh,2020-02-04,0.0
nj,2020-02-04,0.0
nm,2020-02-04,0.0
nv,2020-02-04,0.0
ny,2020-02-04,0.0
oh,2020-02-04,7.391035027855
ok,2020-02-04,0.0
or,2020-02-04,0.0
pa,2020-02-04,0.0
ri,2020-02-04,0.0
sc,2020-02-04,0.0
sd,2020-02-04,0.0
tn,2020-02-04,0.0
