geo_value,time_value,percent_covid_visits
ak,2020-02-01,0.021111
al,2020-02-01,0.00233
ar,2020-02-01,0.002527
az,2020-02-01,0.001278
ca,2020-02-01,0.000702
co,2020-02-01,0.006066
ct,2020-02-01,0.001577
dc,2020-02-01,0.005336
de,2020-02-01,0.007008
fl,2020-02-01,0.001226
ga,2020-02-01,0.000758
hi,2020-02-01,0.006356
ia,2020-02-01,0.002342
id,2020-02-01,0.014081
il,2020-02-01,0.00309
in,2020-02-01,0.001342
ks,2020-02-01,0.007036
ky,2020-02-01,0.00222
la,2020-02-01,0.003106
ma,2020-02-01,0.001266
md,2020-02-01,0.002102
me,2020-02-01,0.002269
mi,2020-02-01,0.000712
mn,2020-02-01,0.001206
mo,2020-02-01,0.003024
ms,2020-02-01,0.002759
mt,2020-02-01,0.008624
nc,2020-02-01,0.0007
nd,2020-02-01,0.010833
ne,2020-02-01,0.00604
nh,2020-02-01,0.005495
nj,2020-02-01,0.001707
nm,2020-02-01,0.006851
nv,2020-02-01,0.002101
ny,2020-02-01,0.000764
oh,2020-02-01,0.00092
ok,2020-02-01,0.002152
or,2020-02-01,0.001985
pa,2020-02-01,0.000429
pr,2020-02-01,0.0063
ri,2020-02-01,0.005237
sc,2020-02-01,0.001353
sd,2020-02-01,0.00629
tn,2020-02-01,0.001605
tx,2020-02-01,0.000985
ut,2020-02-01,0.003875
va,2020-02-01,0.001154
vt,2020-02-01,0.009916
wa,2020-02-01,0.000886
wi,2020-02-01,0.00119
wv,2020-02-01,0.007545
wy,2020-02-01,0.018575
ak,2020-02-02,0.02548
al,2020-02-02,0.002621
ar,2020-02-02,0.002947
az,2020-02-02,0.001634
ca,2020-02-02,0.000803
co,2020-02-02,0.005824
ct,2020-02-02,0.001787
dc,2020-02-02,0.00626
de,2020-02-02,0.007041
fl,2020-02-02,0.001484
ga,2020-02-02,0.001261
hi,2020-02-02,0.007011
ia,2020-02-02,0.002725
id,2020-02-02,0.014563
il,2020-02-02,0.002779
in,2020-02-02,0.00228
ks,2020-02-02,0.008502
ky,2020-02-02,0.002267
la,2020-02-02,0.003706
ma,2020-02-02,0.001239
md,2020-02-02,0.001974
me,2020-02-02,0.002809
mi,2020-02-02,0.000638
mn,2020-02-02,0.001424
mo,2020-02-02,0.003011
ms,2020-02-02,0.003188
mt,2020-02-02,0.009233
nc,2020-02-02,0.000809
nd,2020-02-02,0.013629
ne,2020-02-02,0.006413
nh,2020-02-02,0.006691
nj,2020-02-02,0.001578
nm,2020-02-02,0.007215
nv,2020-02-02,0.002424
ny,2020-02-02,0.000777
oh,2020-02-02,0.001028
ok,2020-02-02,0.00233
or,2020-02-02,0.002978
pa,2020-02-02,0.000527
pr,2020-02-02,0.00701
ri,2020-02-02,0.006131
sc,2020-02-02,0.001537
sd,2020-02-02,0.007761
tn,2020-02-02,0.001727
tx,2020-02-02,0.001154
ut,2020-02-02,0.004551
va,2020-02-02,0.001226
vt,2020-02-02,0.012485
wa,2020-02-02,0.000969
wi,2020-02-02,0.001374
wv,2020-02-02,0.009618
wy,2020-02-02,0.022281
ak,2020-02-03,0.028987
al,2020-02-03,0.00314
ar,2020-02-03,0.003759
az,2020-02-03,0.002225
ca,2020-02-03,0.00125
co,2020-02-03,0.00853
ct,2020-02-03,0.002233
dc,2020-02-03,0.007973
de,2020-02-03,0.007876
fl,2020-02-03,0.001921
ga,2020-02-03,0.001507
hi,2020-02-03,0.008834
ia,2020-02-03,0.002733
id,2020-02-03,0.020058
il,2020-02-03,0.003092
in,2020-02-03,0.003694
ks,2020-02-03,0.008963
ky,2020-02-03,0.002449
la,2020-02-03,0.003919
ma,2020-02-03,0.00144
md,2020-02-03,0.001968
me,2020-02-03,0.003694
mi,2020-02-03,0.000702
mn,2020-02-03,0.0018
mo,2020-02-03,0.003237
ms,2020-02-03,0.004037
mt,2020-02-03,0.011556
nc,2020-02-03,0.00156
nd,2020-02-03,0.017054
ne,2020-02-03,0.007264
nh,2020-02-03,0.008681
nj,2020-02-03,0.001607
nm,2020-02-03,0.008229
nv,2020-02-03,0.003059
ny,2020-02-03,0.000992
oh,2020-02-03,0.001041
ok,2020-02-03,0.002705
or,2020-02-03,0.003431
pa,2020-02-03,0.000728
pr,2020-02-03,0.009021
ri,2020-02-03,0.007428
sc,2020-02-03,0.002795
sd,2020-02-03,0.01013
tn,2020-02-03,0.002614
tx,2020-02-03,0.001143
ut,2020-02-03,0.00578
va,2020-02-03,0.001416
vt,2020-02-03,0.016583
wa,2020-02-03,0.001799
wi,2020-02-03,0.001761
wv,2020-02-03,0.010386
wy,2020-02-03,0.025667
ak,2020-02-04,0.025553
al,2020-02-04,0.002487
ar,2020-02-04,0.004785
az,2020-02-04,0.00168
ca,2020-02-04,0.001287
co,2020-02-04,0.006163
ct,2020-02-04,0.001863
dc,2020-02-04,0.007045
de,2020-02-04,0.006195
fl,2020-02-04,0.001697
ga,2020-02-04,0.001752
hi,2020-02-04,0.007722
ia,2020-02-04,0.002058
id,2020-02-04,0.014568
il,2020-02-04,0.002328
in,2020-02-04,0.002821
ks,2020-02-04,0.008073
ky,2020-02-04,0.002551
la,2020-02-04,0.004046
ma,2020-02-04,0.001691
md,2020-02-04,0.001288
me,2020-02-04,0.003124
mi,2020-02-04,0.000566
mn,2020-02-04,0.002193
mo,2020-02-04,0.00232
ms,2020-02-04,0.003377
mt,2020-02-04,0.015079
nc,2020-02-04,0.001743
nd,2020-02-04,0.01442
ne,2020-02-04,0.006911
nh,2020-02-04,0.007324
nj,2020-02-04,0.001377
nm,2020-02-04,0.006716
nv,2020-02-04,0.002724
ny,2020-02-04,0.002493
oh,2020-02-04,0.000859
ok,2020-02-04,0.00212
or,2020-02-04,0.002636
pa,2020-02-04,0.000918
pr,2020-02-04,0.007494
ri,2020-02-04,0.006498
sc,2020-02-04,0.002202
sd,2020-02-04,0.008678
tn,2020-02-04,0.002516
tx,2020-02-04,0.001154
ut,2020-02-04,0.008206
va,2020-02-04,0.001139
vt,2020-02-04,0.014002
wa,2020-02-04,0.001455
wi,2020-02-04,0.001508
wv,2020-02-04,0.007411
wy,2020-02-04,0.02518
ak,2020-02-05,0.023471
al,2020-02-05,0.002105
ar,2020-02-05,0.004124
az,2020-02-05,0.001296
ca,2020-02-05,0.000968
co,2020-02-05,0.009028
ct,2020-02-05,0.001653
dc,2020-02-05,0.006396
de,2020-02-05,0.005006
fl,2020-02-05,0.001228
ga,2020-02-05,0.001479
hi,2020-02-05,0.00691
ia,2020-02-05,0.00223
id,2020-02-05,0.010749
il,2020-02-05,0.002165
in,2020-02-05,0.002278
ks,2020-02-05,0.006026
ky,2020-02-05,0.002662
la,2020-02-05,0.003601
ma,2020-02-05,0.001411
md,2020-02-05,0.001327
me,2020-02-05,0.002721
mi,2020-02-05,0.000725
mn,2020-02-05,0.001883
mo,2020-02-05,0.001788
ms,2020-02-05,0.003016
mt,2020-02-05,0.012926
nc,2020-02-05,0.001455
nd,2020-02-05,0.01273
ne,2020-02-05,0.006975
nh,2020-02-05,0.006397
nj,2020-02-05,0.001271
nm,2020-02-05,0.008244
nv,2020-02-05,0.002488
ny,2020-02-05,0.004225
oh,2020-02-05,0.000908
ok,2020-02-05,0.001867
or,2020-02-05,0.002093
pa,2020-02-05,0.000744
pr,2020-02-05,0.006624
ri,2020-02-05,0.005789
sc,2020-02-05,0.001812
sd,2020-02-05,0.00759
tn,2020-02-05,0.001965
tx,2020-02-05,0.00119
ut,2020-02-05,0.006893
va,2020-02-05,0.000964
vt,2020-02-05,0.012031
wa,2020-02-05,0.001706
wi,2020-02-05,0.00136
wv,2020-02-05,0.00729
wy,2020-02-05,0.023506
ak,2020-02-06,0.02124
al,2020-02-06,0.001837
ar,2020-02-06,0.00362
az,2020-02-06,0.001012
ca,2020-02-06,0.000884
co,2020-02-06,0.008744
ct,2020-02-06,0.003066
dc,2020-02-06,0.005866
de,2020-02-06,0.004194
fl,2020-02-06,0.001157
ga,2020-02-06,0.001242
hi,2020-02-06,0.00638
ia,2020-02-06,0.002386
id,2020-02-06,0.0081
il,2020-02-06,0.001807
in,2020-02-06,0.001882
ks,2020-02-06,0.004665
ky,2020-02-06,0.002137
la,2020-02-06,0.002733
ma,2020-02-06,0.001202
md,2020-02-06,0.001382
me,2020-02-06,0.002442
mi,2020-02-06,0.000618
mn,2020-02-06,0.001638
mo,2020-02-06,0.001534
ms,2020-02-06,0.002768
mt,2020-02-06,0.011299
nc,2020-02-06,0.001227
nd,2020-02-06,0.011602
ne,2020-02-06,0.005503
nh,2020-02-06,0.005769
nj,2020-02-06,0.001193
nm,2020-02-06,0.007014
nv,2020-02-06,0.003508
ny,2020-02-06,0.004939
oh,2020-02-06,0.000817
ok,2020-02-06,0.002049
or,2020-02-06,0.0017
pa,2020-02-06,0.000603
pr,2020-02-06,0.005981
ri,2020-02-06,0.005384
sc,2020-02-06,0.001523
sd,2020-02-06,0.006901
tn,2020-02-06,0.001558
tx,2020-02-06,0.001009
